review_id,review_text
AR016,"Excellent service all the way from Stavanger, first with SAS to Copenhagen, then on to Singapore with Singapore Airlines. I choose Singapore Airlines for the entire trip from Stavanger - Singapore - Melbourne - Mildura- Melbourne - Perth then back to Stavanger via Singapore and London Heathrow mainly because they are part of the Star Alliance Group. All flights left on time and arrived earlier that scheduled. The service was excellent throughout. I particularly enjoyed the trip from Copenhagen to Singapore where I met a delightful young lady who was a member of the cabin crew. She took time to chat even though they were quite busy. I have flown with Singapore Airlines several times before"
AR017,"Kuala Lumpur to Doha. The boarding procedure was easy and unproblematic. The journey was more than 7 hours, the aircraft took off at 8.30am. I was sitting by a window. The aircraft was not full it was an empty seat beside me. Every seat had a pillow, a blanket and a headset. The service was very good: we got a complete lunch (lamb with rice, salad, cookie) and a sandwich one hour before landing. The crew was excellent I can recommend the airline very much."
AR018,"Left 2.5 hours late and we almost missed our Singapore Airlines connecting Flight as the Skyrail between terminals was not working and we had 25 mins to get from terminal 1 to Terminal 3. When we arrived at the gate we were told to go to, By Singapore Airlines Sign as we Departed our flight. The gate was shut. We found out by a passerby that the gate changed 2.5 hours previously and was now another 10 mins further on, we made it but our luggage did not. We got on plane to find we were seated separately. We booked in with staff together & we arrived together. We got to Manchester and were told luggage would be about 4 days. on the 5th day we went to the Airport 2 hours later we emerged hopeful & our baggage arrived on the 6th Day only to find the suitcase with missing roller & damaged. We had to use our own money to buy underware, toiletries, clothes for 2 people & a suitcase. This will be refunded but in the meantime we had to use our own money. I get to the airport to fly out this morning & there is no register of my Vegetarian meal on departing flight and I did enter it at the same time I did the previous flight. We lost 1/3 of our holiday 100% due to delays. We were allowed to go to the Business Class lounge on the way out as compensation, I should be grateful for Vegetarian Sausages before I leave & a glass of Wine. Compensation should have been upgrade to business class. We paid extra Premium Economy as we thought it would be more comfortable and relaxing but couldn't have been worse."
AR019,"Dubai to Singapore via Penang. First time fly with Singapore Airlines and will be final. I thought everything is perfect not until when I received my new luggage, with the Protection cover missing and the pocket zip is broken. When I file a complaint to Customer service, and the response is that it is due to the luggage is wear and tear, Singapore Airlines could not submit the damage claim to the insurance company and that's it. My conclusion, Singapore Airlines is very irresponsible, if you want to fly with them please ensure your luggage is wrapped or use the old luggage."
AR020,"This was the CX754 from Bangkok to Hong Kong taking off around mid-day. There were two distinctive features about this flight, at least as far as I was concerned. The first is that I hadn't previously flown on the A350 and I must say that I was suitably impressed. Cabin design excellent with spacious overhead lockers, decent sized toilets (no dedicated PE one but it didn't matter) and best of all vastly improved PE seating, both more comfortable and better leg-room than the 777, at least it felt that way. More 350s please! The one downside on this trip is that they served us economy class food for lunch and it was rubbish. Never complained about PE food before (never had to) but this time I am. One additional point to note is that the back row of PE on both sides overlaps with the economy cabin so be advised."
AR021,"Johannesburg to Newcastle via Dubai. This is the second return flight with Emirates to South Africa. Emirates may have competitive fares but this is not an award winning airline from my experience. The service on the last flights were poor especially the Johannesburg to Dubai leg, cabin staff nowhere to be seen, no water or juice offered inflight and the snack advertised a sandwich but this was also not offered and had to be asked for. The worst thing was that I had purchased the Flex fare which costs more than the saver but allows advance booking of seats. Emirates changed the aircraft a month before the flight but did not notify and the seat configuration was different meaning I was seated in a location I had not selected. Customer service was not interested and I received a poor response. I will be looking to use another airline in future."
AR022,"We have had 2 flights from Sao Paulo to Perth. The first and the longest one, which should be the best experience, was average: Seats were not that comfortable. Besides old-style seats and lack of privacy, I realized that there was a hole (on the back of the seat) when sleeping on my seat 2A. Flight attendants could be more responsive when we pressed the button as well as when we got changed into the pyjamas. They could set up our bed more promptly. Food was very tasty. Poor wine list."
AR023,"Houston to Istanbul. As we were checking in at the counter, the staff at the check-in were clueless and unprofessional. They made us move to the back and rearrange our bags at least 4 times. Every time we deal with a different employee, we are told something completely different than before. And instead of monitoring the situation and trying to satisfy us, the manager was so inconsiderate and made it seem like she does not care at all. We were left scratching our heads as dealing with such unprofessional and incompetent team of employees was impossible."
AR024,"Overall the experience was good while on the plane. However getting my luggage was a nightmare! I as well as almost all of the passengers had to wait for over one hour staring at the carousel for our luggage to come out. We landed on time and going through customs was very fast. Arrival was at about 9 pm, I was done with customs by 9:20 pm, BUT I had to wait at carousel 1 from 9:20 pm until 10:45 to get my luggage. Although Emirates may say that they're not responsible for what happens outside the airline, the passenger is charged a fee for going through Newark Airport, and therefore the airline is also responsible. One other issue which may seem unimportant, but it actually is very important: The entertainment is extremely difficult to use as I when I played a movie a radio station presenter came on with advertisements. Despite trying several times, I could not get it to go to movie sound mode. Ground service I place a one star as I said earlier, Emirates is also responsible for the huge delay of not only my, but almost all of the passenger's luggage."
AR025,Paris CDG to Lisbon. I don't understand why they don't dim the cabin lights on the early morning and evening flights so passengers can get some sleep. Cabin was very cold again but my request for a blanket was promptly accepted. Food was better. It departed and landed with at least 30 minutes delay but Captain kept passengers aware at all times of the reasons why this happened.
AR026,"Hong Kong to London via Paris. Flight was cancelled one hour prior the boarding. The ground staff from Air France came after 1.5 hour, not very clear in the explanation to all the passengers. Pretty impolite I would say, leaving people wondering and upset. Our flight was rescheduled for the day after, but we have to use another airline for the connecting flight, means take all luggage again (which is inconvenient travelling with a baby). The alternative provided by the service is being redirected and downgraded to economy with another airline. I am Platinum member, I would have expected to be upgraded for the inconvenience, not the other way around. Everybody at the customer service understands, but never really solve your problem. Expensive, average-low service, poor handling of customer issues."
AR027,Dubai to London. Lucky to have three seats to myself so made up a bed. Popped a sleeping pill an hour after take-off and after a snack was served. 2 hours later cabin staff kept pushing me to wake up as it was main meal time. I resent being woken up for a dinner. If I miss dinner it's my fault not the cabin crews fault. Earth to Emirates cabin crew: Don't wake sleeping passengers.
AR028,"Singapore to London. Business class with my family for holiday. Daytime flight thus the service quality becomes very important as there were not much sleeping time. A380 has been in service for a while thus the seats are quite worn and despite the best maintenance it still shows, the buttons are tough to press and the inflight entertainment remote is also quite tough to be responsive; having said this they have promised to revamp the seats soon. The seats are quite wide and when converted to a bed the upper part of the seats are wide and comfortable but the lower part where the feet lays are a bit narrow. Food was fantastic as we applied for book the cook facility. The satay was amazing and the subsequent courses did not fail to please my family. Inflight entertainment was very good but I would have loved a wider collection of not-so-recent movies. The cabin service is fantastic; cabin crew makes an effort to recognize us and even some recognized us on other flights where they were on with us on a later date."
AR029,"Perth to Nice via Dubai. I used to love flying Emirates. What has happened? Very expensive flights to Nice and service is terrible. I pressed the bell 6 times and the second time 4 times on another connecting flight, but no one showed up. The service from Europe was no better. I waited over 15 minutes to use a toilet in business and then one of the hostesses came out with her makeup bag (there was a line for both toilets). Service so slow and they act like they are doing you a favour. I asked for a red wine and got a cup of tea! When I mentioned this I still did not get the red. Two Sauvignon blancs is not smart for a choice of white wines. On board ICE entertainment system clumsy. Chaffeur did not confirm and we had to chase them to see if we were being picked up for two legs of the trip (website section said booked but empty?). Business lounge outdated and they have the childrens play room down in the smoking section. What has happened to my favourite airline?"
AR030,"Bangkok to Frankfurt via Dubai. The service on board was great. The touchscreen of the board entertainment system is on some planes are better than on others. The movie collection was vast but didn't fit my taste. My seat wasn't locked. So, it changed position without pushing the button. However, those minors didn't bother me because of the good value and the great staff. What bothered me is the lack of goodwill of the Emirates on ground service. Emirates offered to reschedule the booked flights because of the Covid-19 pandemic for three years (what was great). However, our daughter became 13 years old during that time and a new more expensive adult ticket was needed for her. However, we saved about 150 Euro for her previous ticket, we had to add another 600 Euro for the new ticket. To get the new ticket kept us almost two hours on the phone with fast speaking call service assistants. On the way back, we had to pay additional 217 Euro for overweight. That was new for us, because we always could have one to two more kilogram per suitcase. Maybe it is standard nowadays, but every weight scale is different, therefore I think airlines good except two kilos more per suitcase. Families seem to be disadvantaged in this concern. They count the overweight as total. If family members check in individually, they could save a few bucks."
AR031,"Bangkok to Dublin via Doha with a 16hr layover. At the time of booking we contacted Qatar Airways customer service to ask if we could avail of their complimentary hotel stay in the airport for our long layover. We were told that we could avail of this service on the day we arrive in Doha by a customer service representative on the phone. On arrival in Doha today we were told that our fare was promotional and we are not eligible for the hotel, meaning we are stuck in the airport for the next 16hrs. The staff were unapologetic and offered us no alternatives other than paying for hotels with our own money. The flight was disappointing WITH mediocre food and hard seats. The only staff who were very nice and helpful were at the city tour desks."
AR032,"We flew ANA flight NH 12 from Tokyo Narita (NRT) to Chicago O'Hare (ORD) on January 13th 2021 as part of trip home to Houston after a SE Asia Family trip. We connected to NH 12 from another ANA flight so after passing security we go directly to our boarding gate. ANA requires all passengers to keep their mask on all the time while in the airplane and while transiting except when eating or drinking. Several ANA gate attendant were making rounds checking people's documents to ensure everybody can legally enter the US. This is better than the UA process of lining everybody up in just one line and clueless on what is the requirement for entry for different countries like we experienced in SFO on our outbound trip. Boarding was announced a few minutes early. Boarding was done in groups; Business Class passengers going first then they start loading Economy from back to the front. They called by rows so there is minimum line formed at the gate, and people can social distancing while lining up. The aircraft was a 14 years old B777-300ER (JA875A) but still in good condition. The flight was quite full but boarding was done quickly. Even with the announcements on cleanings already done on the aircraft cabin, we used Clorox wipes to clean tray tables, seatbelts, armrest and screen when we got to our seat. The seat has fixed back and pivots on the upper section and slides the seat cushion forward for reclining, so there is no risk of person in front of you reclining and intruding into your space. There is footrest under the seat in front of you. Entertainment was OK but for an 11 hour trip like this more choice of movies and TV programs will be appreciated. We used our 3.5"" jack wireless transmitter and bluetooth earphones to avoid cable tangles from the provided earphones. The FAs on this flight were relatively younger than the other ANA flights we flew last few times. They are very courteous, polite and helpful, and they are cheerful when they were doing their job and their positive attitude helps passengers to relax. Rice crackers and wet towelettes were handed out with the first drink service. Afterwards we were served dinner along with another drink cart service. Dinner was either beef sukiyaki or braised seafood. I opted for sukiyaki and it was really good. Later breakfast was served and the choices are salmon flake omelette or pancakes. I chose pancakes and the pancake was good, infused with lots of syrup along with a chicken sausage. Before we land we got a tomato cheese bread snack. we were properly fed during the trip compared to American airliners. In between meals the FAs going around offering water bottles or snacks every couple hours or so. They also set up a snack and drink basket that we can help ourselves at the back galley. There were two teams of FAs and I can see them all working hard and all were very cheerful and helpful to the passengers. They were all so good that I decided to give them a box of chocolate I got from Narita during our transit. They initially refused saying this is too much for them but I told them they deserve it for their good service and to share with the other Team, and they finally obliged. We had to wait for late transferring passengers so we were around 15 minutes behind schedule, but we caught up along the way and arrived at 1.13 pm, 37 minutes early to Chicago O'Hare's Terminal 5. Deplaning was done very orderly, they called by the rows to deplane so there is no line waiting to get off the plane."
AR033,"I found Turkish Airways to be rather amateur in the business class game; most of the staff are well intentioned, but lack polish and refinement. Upon boarding, there was no greeting or assistance to your seat. A non-alcoholic drink is served before take-off, but on departure it took nearly an hour for my first drink to arrive. They ask what you want, and then spend ages setting up the drinks in the 'bar' at the front of the cabin. Staff then fluff about, looking through the list of requested drinks, and bringing them out one-by-one. Nuts can come before or after, but not at the same time. All meals were decent, but unmemorable. Food is no longer served seat-side, but is delivered on a tray. I was never offered a top-up for drinks, and had to request this. Water is not served with your meal or alcoholic drink; you need to request. Drinks are poured at the 'bar' and delivered to you. At breakfast, there was never any offer of juice - just tea or coffee. Service was generally very rushed. Seats were comfortable - in a 2-2-2 configuration; a seat-topper and pillow case was provided. IFE was pretty pathetic and the movies were almost always mainstream. All in all, it was fine, but not worth the money."
AR034,We had an average experience with Turkish Airlines on April 22. We were disappointed that we could not upgrade our seats to Business Class. The legroom in the A321 economy seats were very uncomfortable for a 6 hour journey. We tried to reach out to the call centre in Istanbul to request for an upgrade to Business Class as the flight was an overnight flight between Istanbul and Abu Dhabi. Their customer service was quite awful and would likely will not choose to fly with Turkish Airlines again.
AR035,I would not have bought the Emirates tickets if I knew I was flying with Qantas. Poor seats and inflight entertainment sucks (Headset point is broken). 4hrs of boredom and food is below average. Airline staff cannot figure out fix the problem or have my seats changed. Waste of money! 800NZD for round ticket AKL to MEL. Done with Emirates and Qantas (I didn't even choose Qantas). Will stick with my fav airlines Qatar and AirNZ!
AR036,"Siem Reap to Kolkata via Singapore. We chose Singapore as we had heard lots of wonderful things about the airline. Our experience was worse than any bucket-shop airlines and we thought Singapore was a world standard airline. On the Siem Reap to Singapore Route my seat had a broken table which I was informed only on the way to the boarding the flight when I was suddenly being pressurised by their ground staff. Although I was waiting at the airport near the gate for over an hour none of your ground staff bothered to discuss this matter with me. Furthermore the table was only secured with sticky tape which kept falling on my lap and on a couple of occasions fell on my watch! We then received further shoddy service from ground staff at Singapore on the Kolkata flight. Having paid USD 700+ for our one-way ticket from REP to CCU I was shocked to be downgraded to an airline with filthy seats, no TV, no leg space and in general badly in need of an uplift. To cap it all the cabin staff offered me gifts worth SGD 75 on the plane. This offer got progressively downgraded to a few miles on their airline."
AR037,"Before purchasing the ticket i read that flexible tickets are upgradable with points. However having the ticket in hand, as a frequent flyer, I am told that there is no availability to upgrade with points; only a payable upgrade is offered. After contacting the airline, they confirm that only payable upgrades are available. With the current policy of Emirates there is no need to become a frequent flyer with Emirates as they offer nothing to a passenger who has enough points to upgrade."
AR038,"Adelaide to Doha via Edinburgh. This was the worst flying experience and they managed to lose my bag. My biggest problem was that I couldn't claim on travel insurance until Qatar had closed their case and issued any compensation. This has taken 3 months so far and over 40 follow up emails. They keep coming up with a reason that the file hasn't been finalised, set a date they will have it done by (between 5 days and 2 weeks) and then miss that deadline."
AR039,"Istanbul to Mexico City. The seats are new and have direct access, but very narrow, it is not comfortable to sit, even if the height is small. The choice of food is bad. Stewards are not always attentive."
AR040,"My recent experience with Turkish Airlines was marred by unprofessional behavior from a cabin crew member, inadequate customer service, and a lack of timely and satisfactory resolution. I hope that by sharing my experience, the airline will recognize the importance of addressing such issues promptly and appropriately. I would strongly reconsider choosing Turkish Airlines for my future travels, as customer satisfaction and respectful treatment should always be a top priority."
AR041,"Mexico City to Paris. Very limited leg room, the screen equipment almost falling apart, dirty toilets, terrible food and inattentive flight crew. What else can one ask when travelling on such a long flight?! Never ever again."
AR042,Beware of cancelation fees even when the airline canceled your ticket. My ticket for April 2022 got canceled due to the new covid policy issued by Taiwan government. Still the airline will not give you back 100% of the ticket. Hence i rebooked another ticket again thinking it was just 1 plane got canceled. And immediately canceled that ticket in an 1 hour stretch. Airline refused my cancelation request and charged me penalty.
AR043,"Algiers to Manchester via Istanbul. I have the same experience word by word as below my review. I missed my connection flight. My first Turkish Airlines plane was late, and the second plane has gone 10 minutes before dest. time. The screen has shown ""go to gate"". But the plane was nowhere. Everybody was so rude at the airport, helpless and their attitude was awful. Finally I had to buy a ticket for the next flight for 342 pounds, because they told me, the plane us full, I can travel only on business class, where actually was a very poor service. Customer service a joke, it was the worst ever."
AR044,"I really can't understand why this airline is an awarded airline. The service is rushed and unfriendly, and as a premium economy flyer, the only difference between economy seems to be priority boarding and a slightly bigger seat. It is by far the worst premium economy offering I have experienced, with my comparison being Virgin Australia, Virgin Atlantic and Qantas. My flight wasn't bad, just very average. Don't waste your money on premium economy with Cathay Pacific."
AR045,"Singapore to Rome return via Doha. Staff seemed eager to please but performance is below our expectations. Staff forgot to hand out amenity pouches or pyjamas for the 7.5 hrs Singapore to Doha and vice versa flights. Main entrée choice was limited to only 3 choices. Seat was comfy enough but on the B787 it lacked storage. From what I read, seats in the A350 seemed to have more storage. Flights from Singapore to Rome and vice versa were supposed to be the A350 but switched to B787 a few months before departure - really disappointed with this. Business lounge in Doha was great, far better than SQ lounge in Changi Airport. But they did not have the a la carte menu and Krug Champagne on the Mezzanine floor restaurant. A sign of cost cutting measure? The range of Asian movies onboard is also very limited. Worst of all, their flights seemed to depart at odd hours, for example 2.30am from Singapore to Doha and vice versa."
AR046,"Tokyo to London via Doha. Not impressed, a new aircraft with a cramped cabin. I found the seats not very comfortable and the cabin service was not great. The meal quality was okay and drinks selection limited. Boarding the plane in Tokyo and Doha was fine, but getting through transfer in Doha was a time consuming and a rugby like exercise."
AR047,"Flew Paris CDG to Vancouver. Amazing experience, food was delicious, I did choose the risotto with mushrooms and I must say it was the best food I ever had served during a flight. They also served ice cream and water in the middle of the flight and another smaller meal before landing in Vancouver. Cabin crews were very friendly and attentive. The cabin was looking new and clean. Totally recommend flying with Air France, best European airline."
AR048,"Frankfurt to Ankara. Checked in well in advance as I was connecting from an overseas flight. The agent had difficulty locating my reservation despite having been presented with an electronic boarding pass and my passport. At the gate, boarded with the priority group given my status on Star Alliance. On board, the hard product looked good and with the exception of my audio jack the seat functions worked well. Following take off we were offered lunch with two options for main course. The food was tasty for economy class and the portions were OK. Several beverage choices including beer, wine and spirits were offered. The IFE had a glitch where every movie choice was directed to the wrong film each time. The seat was comfortable enough for economy. The flight pushed back and landed on time. I have taken multiple international and domestic flights with TK in recent years and as with my previous flights, this one had passengers standing up and walking to the front of the aircraft while taxiing. The FA’s did not force them back to their seats and simply replayed the pre-recorded safety message. As a result, the plane taxied for about 10 minutes with several passengers standing in the aisle and opening overhead bins risking the safety of others around them. Whilst most of my on board experience has been pleasant with TK I am appalled to see that their FA’s do not enforce the most basic safety rules and simply ignore violations. This is a very concerning display of TK’s safety culture and raises questions about the rest of their operations."
AR049,"The service by the flight attendants was ok, but for a layover of 22 hours while offering nothing to accommodate the customer, this is very bad policy by Korean Air. Even if transit hotel was not offered, at least offer a meal, pillow, blanket etc.. I wasn't even allowed to take the pillow and/or blanket from the flight to use at the nap zone area. The jet lag from the flight afterwards was devastating."
AR050,"Short flight from Paris to Madrid but excellently executed by Air France. Check in simple and fast, fast track through passport and security, fabulous lounge with nice breakfast available. Efficient boarding, new comfortable aircraft with friendly staff. Flight arrived on time. Air France consistently performs."
